id	name	type	category	address	lat	lng	tel	faculty	open_campus_2025	website	contact_person	contact_date	relation_stage	support_items	notes
U001	広島大学	大学	国公立	東広島市鏡山1-3-2	34.3989	132.7121	082-422-7111	文学部/法学部/経済学部/理学部/工学部/教育学部/医学部/歯学部/薬学部/生物生産学部/情報科学部/統合生命科学部	6月15日/7月20日/8月3日	https://www.hiroshima-u.ac.jp			0		
U002	広島市立大学	大学	国公立	広島市安佐南区大塚東3-4-1	34.4384	132.4141	082-830-1500	芸術学部/情報科学部/国際学部	6月21日/8月2日/8月9日	https://www.hiroshima-cu.ac.jp			0		
U003	県立広島大学	大学	国公立	広島市南区宇品東1-1-71	34.3662	132.4682	082-251-9600	地域創生学部/保健福祉学部/生命環境学部	7月5日/8月2日	https://www.pu-hiroshima.ac.jp			0		
U004	広島修道大学	大学	私立	広島市安佐南区大塚東1-1-1	34.4339	132.4051	082-830-1100	商学部/人文学部/経済科学部/法学部/人間環境学部/健康科学部	5月31日/6月28日/7月26日/8月23日	https://www.shudo-u.ac.jp			1		
U005	広島経済大学	大学	私立	広島市安佐南区祇園5-37-1	34.4485	132.4568	082-871-1000	経済学部/経営学部/メディアビジネス学部	6月14日/7月5日/7月26日/8月9日	https://www.hue.ac.jp			0		
U006	広島工業大学	大学	私立	広島市佐伯区三宅2-1-1	34.371	132.3437	082-921-3121	工学部/情報学部/環境学部/生命学部	6月7日/7月5日/8月2日/8月23日	https://www.it-hiroshima.ac.jp			2	WEB広告	
U007	安田女子大学	大学	私立	広島市安佐南区安東6-13-1	34.4806	132.4519	082-878-8111	文学部/教育学部/現代ビジネス学部/薬学部/家政学部/心理学部	5月24日/6月21日/7月19日/8月9日/8月23日	https://www.yasuda-u.ac.jp			1		
U008	広島国際大学	大学	私立	東広島市黒瀬学園台555-36	34.3133	132.6869	0823-70-4500	医療技術学部/保健医療学部/心理学部/薬学部/看護学部	6月7日/7月5日/8月9日	https://www.hirokoku-u.ac.jp			3	WEB広告/ノベルティ	
U009	広島文化学園大学	大学	私立	安芸郡坂町平成ヶ浜3-3-20	34.3399	132.5076	082-814-3191	看護学部/学芸学部	5月24日/6月21日/7月26日	https://www.hcu.ac.jp			0		
U010	比治山大学	大学	私立	広島市東区牛田新町4-1-1	34.4172	132.4746	082-229-0121	現代文化学部/社会学部	5月31日/7月5日/8月2日	https://www.hijiyama-u.ac.jp			1		
U011	広島女学院大学	大学	私立	広島市東区牛田東4-13-1	34.413	132.4837	082-228-0386	人文学部/国際教養学部	7月12日/8月2日	https://www.hju.ac.jp			0		
U012	福山大学	大学	私立	福山市学園町1番地	34.4582	133.2301	084-936-2111	経済学部/人間文化学部/工学部/生命工学部/薬学部/海洋生物科学部	6月14日/7月5日/7月26日/8月9日	https://www.fukuyama-u.ac.jp			2	WEB広告	
U013	福山平成大学	大学	私立	福山市御幸町上岩成正戸117-1	34.5503	133.3494	084-972-7100	福祉健康学部/経営学部/看護学部	5月24日/7月5日/8月2日	https://www.heisei-u.ac.jp			0		
U014	尾道市立大学	大学	国公立	尾道市久山田町1600	34.4235	133.1616	0848-20-7500	芸術文化学部/経済情報学部/日本文学科	6月28日/7月26日	https://www.onomichi-u.ac.jp			1		
U015	呉大学	大学	私立	呉市阿賀南2-2-1	34.232	132.6018	0823-73-8100	看護学部/生命栄養科学部	7月5日/8月2日/8月9日	https://www.kure-u.ac.jp			0		
U016	広島都市学園大学	大学	私立	広島市南区宇品西5-3-1	34.3599	132.4577	082-503-6000	子ども教育学部/健康科学部	6月7日/7月12日/8月9日	https://www.hcu-u.ac.jp			0		
U017	日本赤十字広島看護大学	大学	私立	廿日市市佐方血吸町1-1	34.3526	132.3276	0829-32-6100	看護学部	6月21日/7月19日	https://www.jrchcn.ac.jp			1		
U018	広島国際学院大学	大学	私立	広島市安芸区中野東4-1-1	34.3998	132.5801	082-820-2211	工学部/現代社会学部	5月24日/7月5日/8月2日	https://www.hie.ac.jp			0		
U019	叡啓大学	大学	国公立	広島市中区幟町1-5	34.3963	132.4681	082-204-3800	ソーシャルシステムデザイン学部	6月14日/7月12日/8月9日	https://www.eikei.ac.jp			0		
U020	福山市立大学	大学	国公立	福山市港町2-19-1	34.4827	133.3856	084-999-1100	都市経営学部/教育学部	6月14日/7月5日/8月2日	https://www.fcu.ac.jp			0		
U021	エリザベト音楽大学	大学	私立	広島市中区幟町4-15	34.3951	132.4679	082-221-0918	音楽学部	6月7日/7月5日/8月2日	https://www.eum.ac.jp			0		
U022	近畿大学工学部（広島キャンパス）	大学	私立	東広島市高屋うめの辺1番	34.4578	132.9363	082-434-7000	化学生命工学科/ロボティクス学科/情報学科/建築学科/電気電子工学科	6月14日/7月5日/8月9日	https://www.hiro.kindai.ac.jp			0		
U023	広島文教大学	大学	私立	広島市安佐北区可部東4-15-15	34.5052	132.52	082-814-3211	教育学部/人間科学部	6月7日/7月5日/8月2日	https://www.h-bunkyo.ac.jp			0		
SP001	広島情報専門学校	専門学校	私立	広島市南区松川町2-24	34.3922	132.4823	082-222-7111	ITビジネス学科/情報処理学科/Web・CG学科	4月20日/6月15日/7月27日/8月17日	https://www.hic.ac.jp			2	WEB広告	
SP002	広島デザイン専門学校	専門学校	私立	広島市中区本川町1-4-28	34.3965	132.4477	082-293-8000	グラフィックデザイン/インテリアデザイン/ファッションデザイン	毎月第2土曜	https://www.hiroshima-design.ac.jp			3	WEB広告/ノベルティ	
SP003	広島医療秘書こども専門学校	専門学校	私立	広島市南区的場町1-2-16	34.3974	132.4724	082-264-7878	医療秘書学科/こども学科/歯科衛生学科	毎週土曜	https://www.hiro-isen.com			1		
SP004	広島工業大学専門学校	専門学校	私立	広島市西区福島町2-1-1	34.3936	132.4352	082-244-0221	建築学科/自動車工学科/電気電子学科	6月1日/7月6日/8月3日	https://www.it-hiroshima.ac.jp/senmon			4	WEB広告/ノベルティ/コンセプトムービー	
SP005	広島ビジネス専門学校	専門学校	私立	広島市中区大手町4-1-1	34.3958	132.4589	082-247-9000	ビジネス学科/会計学科/観光ビジネス学科	月2回土曜	https://www.hbs.ac.jp			0		
SP006	広島外語専門学校	専門学校	私立	広島市中区千田町1-3-12	34.3826	132.4538	082-222-1311	英語科/中国語科/韓国語科	毎月1回	https://www.hflc.ac.jp			1		
SP007	広島スポーツ専門学校	専門学校	私立	広島市中区本通9-30	34.3965	132.4583	082-541-1234	スポーツ健康学科/スポーツトレーナー学科	6月15日/7月20日	https://www.hsa.ac.jp			0		
SP008	広島調理師専門学校	専門学校	私立	広島市中区基町2-17	34.3985	132.4597	082-221-3332	調理師学科/製菓衛生師学科	毎週土曜	https://www.chori.ac.jp			2	WEB広告	
SP009	HAL広島	専門学校	私立	広島市中区袋町4-31	34.397	132.458	082-236-8001	ゲーム学科/アニメ学科/声優学科/ITエンジニア学科	6月22日/7月6日/8月3日	https://www.hal.ac.jp/hiroshima			3	WEB広告/ノベルティ	
SP010	広島文化学園音楽院	専門学校	私立	広島市中区基町5-44	34.3991	132.4601	082-222-8080	音楽専攻/音響専攻	毎月第3土曜	https://www.hcm.ac.jp			0		
SP011	広島会計学院専門学校	専門学校	私立	広島市中区千田町1-3-44	34.3828	132.4548	082-241-0095	経理財務コース/税理士コース/医療事務コース/製菓パティシエコース		https://www.kaikei.ac.jp			0		
